video_url,page_url,discovered_at,element_tag,title,description,category,alt_text,css_classes,file_size,dimensions,tags
https://asset.eyecannndy.com/media/clip/2024/02/08/261707405379.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.716767,img,Litterbug S1E7 (TV Series),,Technique,Litterbug S1E7 (TV Series),lazy-img lazyImages1 trigger_info_ show-it,,,"show it, trigger_info_, lazyImages1, Eyecandy, lazy img"
https://asset.eyecannndy.com/media/clip/2024/02/04/261707007474.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.716973,img,Source unknown,,Technique,Source unknown,lazy-img lazyImages1 trigger_info_ show-it,,,"show it, trigger_info_, lazyImages1, Eyecandy, lazy img"
https://asset.eyecannndy.com/media/clip/2024/02/04/261707007398.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.717061,img,Source unknown,,Technique,Source unknown,lazy-img lazyImages1 trigger_info_ show-it,,,"show it, trigger_info_, lazyImages1, Eyecandy, lazy img"
https://asset.eyecannndy.com/media/clip/2024/02/08/261707405379.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.717132,img,Litterbug S1E7 (TV Series),,Technique,Litterbug S1E7 (TV Series),lazy-img lazyImages1 trigger_info_ show-it,,,"show it, trigger_info_, lazyImages1, Eyecandy, lazy img"
https://asset.eyecannndy.com/media/clip/2024/02/04/261707007474.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.717192,img,Source unknown,,Technique,Source unknown,lazy-img lazyImages1 trigger_info_ show-it,,,"show it, trigger_info_, lazyImages1, Eyecandy, lazy img"
https://asset.eyecannndy.com/media/clip/2024/02/04/261707007398.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.717250,img,Source unknown,,Technique,Source unknown,lazy-img lazyImages1 trigger_info_ show-it,,,"show it, trigger_info_, lazyImages1, Eyecandy, lazy img"
https://asset.eyecannndy.com/media/clip/2024/02/08/261707406980.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.717311,img,Best Wishes Love GIF,,Technique,Best Wishes Love GIF,lazy-img lazyImages1 trigger_info_,,,"lazy img, lazyImages1, Eyecandy, trigger_info_"
https://asset.eyecannndy.com/media/clip/2024/02/08/261707406511.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.717369,img,Happy Rainbow GIF,,Technique,Happy Rainbow GIF,lazy-img lazyImages1 trigger_info_,,,"lazy img, lazyImages1, Eyecandy, trigger_info_"
https://asset.eyecannndy.com/media/clip/2024/02/04/261707007237.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.717428,img,Source unknown,,Technique,Source unknown,lazy-img lazyImages1 trigger_info_,,,"lazy img, lazyImages1, Eyecandy, trigger_info_"
https://asset.eyecannndy.com/media/clip/2024/02/04/261707084544.webp,https://eyecannndy.com/technique/wierdcore,2025-09-09T09:04:14.717486,img,Weirdcore Animation,,Technique,Weirdcore Animation,lazy-img lazyImages1 trigger_info_,,,"lazy img, lazyImages1, Eyecandy, trigger_info_"
